kept: 10192665, deleted: 10630767 
kept: 1431247, deleted: 2790735 
kept: 10173297, deleted: 10329626 10806659 
kept: 10593740, deleted: 10933804 
kept: 10558088, deleted: 10716594 
kept: 6892448, deleted: 9844019 
kept: 7625661, deleted: 7650997 
kept: 125881, deleted: 990870 
kept: 8815778, deleted: 9449447 
kept: 8375346, deleted: 10032551 
kept: 8789125, deleted: 10075942 
kept: 8858877, deleted: 9960247 
kept: 8880160, deleted: 11277563 
kept: 10340053, deleted: 10584992 
kept: 10400667, deleted: 10402198 
kept: 8507748, deleted: 9059301 
kept: 9074780, deleted: 9077331 
kept: 10388727, deleted: 10600874 
kept: 8858546, deleted: 10075925 
kept: 7634123, deleted: 10788087 10388755 10401321 10403889 10567815 
kept: 6145127, deleted: 6486022 7417204 
kept: 5314341, deleted: 7423924 6541669 5698412 6056870 
kept: 5595355, deleted: 6040430 
kept: 5544240, deleted: 6045371 6106899 
kept: 1383205, deleted: 1383289 
kept: 9520071, deleted: 9586005 
kept: 7278036, deleted: 7278774 
kept: 8808340, deleted: 9338088 
kept: 7649603, deleted: 7664997 
kept: 556525, deleted: 990816 
kept: 354161, deleted: 1235771 
kept: 7612714, deleted: 7666644 
kept: 6947142, deleted: 6947348 
kept: 991133, deleted: 991134 
kept: 991137, deleted: 991139 
kept: 991129, deleted: 4592862 5056672 
kept: 575283, deleted: 3413631 
kept: 991142, deleted: 991148 991154 991155 991146 5857082 
kept: 8806670, deleted: 9342169 
kept: 6738723, deleted: 7625733 8506683 9113399 
kept: 2702112, deleted: 4633618 
kept: 10349819, deleted: 10881987 10400372 
kept: 6373083, deleted: 11189010 
kept: 991153, deleted: 2477070 
kept: 6388397, deleted: 6388884 
kept: 9117687, deleted: 9131207 
kept: 148870, deleted: 149891 
kept: 9222201, deleted: 9586245 
kept: 149616, deleted: 150468 
kept: 9962191, deleted: 10575650 
kept: 10600024, deleted: 10823326 
kept: 104008, deleted: 8733554 10225966 10329332 10500265 
kept: 1339002, deleted: 2672817 
kept: 5331642, deleted: 5921393 6885457 
kept: 10071586, deleted: 11223001 
kept: 10923234, deleted: 10968104 
kept: 10334011, deleted: 10352882 10360244 10628976 
kept: 10372053, deleted: 10424463 
kept: 10173391, deleted: 10352867 10368324 10373252 10736937 10737077 
kept: 9994335, deleted: 10790966 
kept: 867544, deleted: 1714077 
